Film,U.S. release date,Box office gross Domestic (U.S. and Canada ),Box office gross Other territories,Box office gross Worldwide,Budget,MCU,Phase,Distributor,MPAA rating,Length,Minutes,Franchise,Character Family,Domestic %,Gross to Budget,rotten Tomatoes Critic Score,male/female-led,Year,Inflation Adjusted Worldwide Gross,Inflation Adjusted Budget,2.5x prod,Break Even
Superman,15/12/1978,134478449,166000000,300478449,55000000,0,NA,Warner Bros.,3,2:23:00,143,0,Superman,45%,5.46,94,0,1978,1404237104,257033544,137500000,1
Superman II,19/06/1981,108185706,108200000,216385706,54000000,0,NA,Warner Bros.,3,2:07:00,127,0,Superman,50%,4.01,83,0,1981,725336273,181010842,135000000,1
Superman III,17/06/1983,59950623,20300000,80250623,39000000,0,NA,Warner Bros.,3,2:05:00,125,0,Superman,75%,2.06,29,0,1983,245506947,119310861,97500000,0
Supergirl,21/11/1984,14296438,,14296438,35000000,0,NA,Tri-Star Pictures,3,2:04:00,124,0,Superman,100%,0.41,8,1,1984,41926345,102642497,87500000,0
Howard the Duck,1/8/1986,16295774,21667000,37962774,37000000,0,NA,Universal Pictures,3,1:50:00,110,1,Howard the Duck,43%,1.03,13,0,1986,37962774,37000000,92500000,0
Superman IV: The Quest for Peace,24/07/1987,15681020,14600000,30281020,17000000,0,NA,Warner Bros.,3,1:30:00,90,0,Superman,52%,1.78,10,0,1987,81220728,45597948,42500000,0
The 1eturn of Swamp Thing,12/5/1989,192816,82112,274928,3000000,0,NA,Millimeter Films,2,1:28:00,88,0,Swamp Thing,70%,0.09,44,0,1989,675573,7371813,7500000,0
Batman,23/06/1989,251409241,160160000,411569241,35000000,0,NA,Warner Bros.,2,2:06:00,126,0,Batman,61%,11.76,76,0,1989,1011337092,86004479,87500000,1
The Punisher,5/10/1989,0,30000000,30000000,9000000,0,NA,New World International,1,1:29:00,89,1,Punisher,0%,3.33,25,0,1989,30000000,9000000,22500000,1
Batman 1eturns,19/06/1992,162924631,104010057,266934688,80000000,0,NA,Warner Bros.,2,2:06:00,126,0,Batman,61%,3.34,81,0,1992,579725033,173742884,200000000,1
Batman: Mask of the Phantasm,25/12/1993,5635204,213000,5848204,5600000,0,NA,Warner Bros.,3,1:16:00,76,0,Batman,96%,1.04,82,0,1993,12331882,11808504,14000000,0
Batman Forever,16/06/1995,184069126,152498032,336567158,100000000,0,NA,Warner Bros.,2,2:01:00,121,0,Batman,55%,3.37,40,0,1995,672916968,199935422,250000000,1
Batman & 1obin,20/06/1997,107353792,130900196,238253988,125000000,0,NA,Warner Bros.,2,2:05:00,125,0,Batman,45%,1.91,11,0,1997,452313815,237306529,312500000,0
Steel,15/08/1997,1710972,91000,1801972,16000000,0,NA,Warner Bros.,2,1:37:00,97,0,Superman,95%,0.11,12,0,1997,3420958,30375236,40000000,0
Blade,21/08/1998,70087718,61123659,131211377,45000000,0,NA,New Line Cinema,1,2:00:00,120,1,Blade,53%,2.92,58,0,1998,131211377,45000000,112500000,1
X-Men,14/07/2000,157299718,139039810,296339528,75000000,0,NA,Twentieth Century Fox,2,1:44:00,104,1,X-Men,53%,3.95,82,0,2000,296339528,75000000,187500000,1
Blade II,22/03/2002,82348319,72661713,155010032,54000000,0,NA,New Line Cinema,1,1:57:00,117,1,Blade,53%,2.87,57,0,2002,155010032,54000000,135000000,1
Spider-Man,3/5/2002,407022860,418002176,825025036,139000000,0,NA,Sony Pictures Entertainment ,2,2:01:00,121,1,Spider-Man,49%,5.94,90,0,2002,825025036,139000000,347500000,1
Daredevil,14/02/2003,102543518,76636200,179179718,78000000,0,NA,Twentieth Century Fox,2,1:43:00,103,1,Daredevil,57%,2.3,43,0,2003,179179718,78000000,195000000,0
X2,30/04/2003,214949694,192761855,407711549,110000000,0,NA,Twentieth Century Fox,2,2:14:00,134,1,X-Men,53%,3.71,85,0,2003,407711549,110000000,275000000,1
Hulk,20/06/2003,132177234,113107931,245285165,137000000,0,NA,Universal Pictures,2,2:18:00,138,1,Hulk,54%,1.79,63,0,2003,245285165,137000000,342500000,0
The Punisher,16/04/2004,33810189,20889916,54700105,33000000,0,NA,Lions Gate Films,1,2:04:00,124,1,Punisher,62%,1.66,29,0,2004,54700105,33000000,82500000,0
Spider-Man 2,30/06/2004,373585825,415390628,788976453,200000000,0,NA,Sony Pictures Entertainment ,2,2:07:00,127,1,Spider-Man,47%,3.94,93,0,2004,788976453,200000000,500000000,1
Catwoman,23/07/2004,40202379,42200000,82402379,100000000,0,NA,Warner Bros.,2,1:44:00,104,0,Batman,49%,0.82,8,1,2004,132917604,161303115,250000000,0
Blade: Trinity,8/12/2004,52411906,79565998,131977904,65000000,0,NA,New Line Cinema,1,1:53:00,113,1,Blade,40%,2.03,24,0,2004,131977904,65000000,162500000,0
Elektra,14/01/2005,24409722,32585924,56995646,43000000,0,NA,Twentieth Century Fox,2,1:37:00,97,1,Daredevil,43%,1.33,11,1,2005,56995646,43000000,107500000,0
Constantine,18/02/2005,75976178,154908550,230884728,100000000,0,NA,Warner Bros.,1,2:01:00,121,0,Constantine,33%,2.31,46,0,2005,360219878,156017196,250000000,0
Batman Begins,15/06/2005,206863479,168435467,375298946,150000000,0,NA,Warner Bros.,2,2:20:00,140,0,Batman,55%,2.5,85,0,2005,585530891,234025794,375000000,1
Fantastic Four,8/7/2005,154696080,178839854,333535934,100000000,0,NA,Twentieth Century Fox,2,1:46:00,106,1,Fantastic Four,46%,3.34,28,0,2005,333535934,100000000,250000000,1
X-Men: The Last Stand,26/05/2006,234362462,226072829,460435291,210000000,0,NA,Twentieth Century Fox,2,1:44:00,104,1,X-Men,51%,2.19,57,0,2006,460435291,210000000,525000000,0
Superman 1eturns,28/06/2006,200081192,191000000,391081192,270000000,0,NA,Warner Bros.,2,2:34:00,154,0,Superman,51%,1.45,74,0,2006,591086599,408082478,675000000,0
Ghost 1ider,16/02/2007,115802596,112935797,228738393,110000000,0,NA,Sony Pictures Entertainment ,2,1:50:00,110,1,Ghost 1ider,51%,2.08,27,0,2007,228738393,110000000,275000000,0
Spider-Man 3,1/5/2007,336530303,558453070,894983373,258000000,0,NA,Sony Pictures Entertainment ,2,2:19:00,139,1,Spider-Man,38%,3.47,63,0,2007,894983373,258000000,645000000,1
Fantastic Four: 1ise of the Silver Surfer,15/06/2007,131921738,169991393,301913131,130000000,0,NA,Twentieth Century Fox,3,1:32:00,92,1,Fantastic Four,44%,2.32,38,0,2007,301913131,130000000,325000000,0
Iron Man,2/5/2008,319034126,266762121,585796247,140000000,1,1,Paramount Pictures,2,2:06:00,126,1,Iron Man,54%,4.18,94,0,2008,585796247,140000000,350000000,1
The Incredible Hulk,13/06/2008,134806913,129964083,264770996,150000000,1,1,Universal Pictures,2,1:52:00,112,1,Hulk,51%,1.77,67,0,2008,264770996,150000000,375000000,0
The Dark Knight,18/07/2008,534987076,472349861,1007336937,185000000,0,NA,Warner Bros.,2,2:32:00,152,0,Batman,53%,5.45,94,0,2008,1425605587,261816105,462500000,1
Punisher: War Zone,5/12/2008,8050977,2110516,10161493,35000000,0,NA,Lions Gate Films,1,1:43:00,103,1,Punisher,79%,0.29,29,0,2008,10161493,35000000,87500000,0
Watchmen,6/3/2009,107509799,77873014,185382813,130000000,0,NA,Warner Bros.,1,2:42:00,162,0,Watchmen,58%,1.43,65,0,2009,263294614,184635778,325000000,0
X-Men Origins: Wolverine,1/5/2009,179883157,193179707,373062864,150000000,0,NA,Twentieth Century Fox,2,1:47:00,107,1,X-Men,48%,2.49,38,0,2009,373062864,150000000,375000000,0
Iron Man 2,7/5/2010,312433331,311500000,623933331,200000000,1,1,Paramount Pictures,2,2:04:00,124,1,Iron Man,50%,3.12,72,0,2010,623933331,200000000,500000000,1
Jonah Hex,18/06/2010,10547117,356195,10903312,47000000,0,NA,Warner Bros.,2,1:21:00,81,0,Jonah Hex,97%,0.23,12,0,2010,15235795,65675672,117500000,0
Thor,6/5/2011,181030624,268295994,449326618,150000000,1,1,Paramount Pictures,2,1:55:00,115,1,Thor,40%,3,77,0,2011,449326618,150000000,375000000,1
X-Men: First Class,3/6/2011,146408305,206208385,352616690,160000000,0,NA,Twentieth Century Fox,2,2:11:00,131,1,X-Men,42%,2.2,86,0,2011,352616690,160000000,400000000,0
Green Lantern,17/06/2011,116601172,120600000,237201172,200000000,0,NA,Warner Bros.,2,1:54:00,114,0,Green Lantern,49%,1.19,25,0,2011,321311879,270919301,500000000,0
Captain America: The First Avengers,22/07/2011,176654505,193915269,370569774,140000000,1,1,Paramount Pictures,2,2:04:00,124,1,Captain America,48%,2.65,80,0,2011,370569774,140000000,350000000,1
Ghost 1ider: Spirit of Vengeance,17/02/2012,51774002,80789928,132563930,57000000,0,NA,Sony Pictures Entertainment ,2,1:36:00,96,1,Ghost 1ider,39%,2.33,19,0,2012,132563930,57000000,142500000,0
The Avengers,4/5/2012,623357910,895455078,1518812988,220000000,1,1,Walt Disney Studios Motion Pictures,2,2:23:00,143,1,Avengers,41%,6.9,91,0,2012,1518812988,220000000,550000000,1
The Amazing Spider-Man,3/7/2012,262030663,495900000,757930663,230000000,0,NA,Sony Pictures Entertainment ,2,2:16:00,136,1,Spider-Man,35%,3.3,71,0,2012,757930663,230000000,575000000,1
The Dark Knight 1ises,20/07/2012,448149584,636918053,1085067637,250000000,0,NA,Warner Bros.,2,2:44:00,164,0,Batman,41%,4.34,87,0,2012,1440028167,331783042,625000000,1
Iron Man 3,3/5/2013,409013994,806563211,1215577205,200000000,1,2,Walt Disney Studios Motion Pictures,2,2:10:00,130,1,Iron Man,34%,6.08,79,0,2013,1215577205,200000000,500000000,1
Man of Steel,14/06/2013,291045518,379100000,670145518,225000000,0,NA,Warner Bros.,2,2:23:00,143,0,Superman,43%,2.98,56,0,2013,876532581,294294038,562500000,1
The Wolverine,26/07/2013,132556852,282271394,414828246,120000000,0,NA,Twentieth Century Fox,2,2:06:00,126,1,X-Men,32%,3.46,71,0,2013,414828246,120000000,300000000,1
Thor: The Dark World,8/11/2013,206362140,438421000,644783140,170000000,1,2,Walt Disney Studios Motion Pictures,2,1:52:00,112,1,Thor,32%,3.79,67,0,2013,644783140,170000000,425000000,1
Captain America: The Winter Soldier,4/4/2014,259766572,454654931,714421503,170000000,1,2,Walt Disney Studios Motion Pictures,2,2:16:00,136,1,Captain America,36%,4.2,90,0,2014,714421503,170000000,425000000,1
The Amazing Spider-Man 2,2/5/2014,202853933,506128390,708982323,200000000,0,NA,Sony Pictures Entertainment ,2,2:22:00,142,1,Spider-Man,29%,3.54,51,0,2014,708982323,200000000,500000000,1
X-Men: Days of Future Past,23/05/2014,233921534,512124166,746045700,200000000,0,NA,Twentieth Century Fox,2,2:12:00,132,1,X-Men,31%,3.73,90,0,2014,746045700,200000000,500000000,1
Guardians of the Galaxy,1/8/2014,333718600,439631547,773350147,170000000,1,2,Walt Disney Studios Motion Pictures,2,2:01:00,121,1,Guardians of the Galaxy,43%,4.55,92,0,2014,773350147,170000000,425000000,1
Avengers: Age of Ultron,1/5/2015,459005868,946012180,1405018048,250000000,1,2,Walt Disney Studios Motion Pictures,2,2:21:00,141,1,Avengers,33%,5.62,76,0,2015,1405018048,250000000,625000000,1
Ant-Man,17/07/2015,180202163,339109802,519311965,130000000,1,2,Walt Disney Studios Motion Pictures,2,1:57:00,117,1,Ant-Man,35%,3.99,83,0,2015,519311965,130000000,325000000,1
Fantastic Four,7/8/2015,56117548,111765333,167882881,120000000,0,NA,Twentieth Century Fox,2,1:40:00,100,1,Fantastic Four,33%,1.4,9,0,2015,167882881,120000000,300000000,0
Deadpool,12/2/2016,363070709,419541446,782612155,58000000,0,NA,Twentieth Century Fox,1,1:48:00,108,1,X-Men,46%,13.49,85,0,2016,782612155,58000000,145000000,1
Batman v Superman: Dawn of Justice,23/03/2016,330360194,544002609,874362803,250000000,0,NA,Warner Bros.,2,2:31:00,151,0,Justice League,38%,3.5,29,0,2016,1110049834,317388225,625000000,1
Captain America: Civil War,6/5/2016,408084349,746962067,1155046416,250000000,1,3,Walt Disney Studios Motion Pictures,2,2:27:00,147,1,Captain America,35%,4.62,91,0,2016,1155046416,250000000,625000000,1
X-Men: Apocalypse,27/05/2016,155442489,388491616,543934105,178000000,0,NA,Twentieth Century Fox,2,2:24:00,144,1,X-Men,29%,3.06,47,0,2016,543934105,178000000,445000000,1
Suicide Squad,5/8/2016,325100054,424100000,749200054,175000000,0,NA,Warner Bros.,2,2:03:00,123,0,Suicide Squad,43%,4.28,26,0,2016,951149103,222171758,437500000,1
Doctor Strange,4/11/2016,232641920,445154156,677796076,165000000,1,3,Walt Disney Studios Motion Pictures,2,1:55:00,115,1,Doctor Strange,34%,4.11,89,0,2016,677796076,165000000,412500000,1
