,earnings,gender,age,region,education,experience
1,20.67307663,male,31,South,14,11
2,24.27884674,male,50,South,12,32
3,10.14957237,male,36,South,12,18
4,8.894230843,female,33,South,10,17
5,6.410256386,female,56,South,10,40
6,16.66666603,female,52,South,12,34
7,34.61538315,male,30,West,16,8
8,11.05769253,male,41,South,12,23
9,19.23077011,male,37,South,13,18
10,12.01923084,female,44,South,13,25
11,10.20408154,female,47,South,8,33
12,10.09615421,female,53,South,11,36
13,16.34615326,male,55,South,12,37
14,45.78754425,female,59,Northeast,19,34
15,19.23077011,female,30,Northeast,16,8
16,31.73077011,male,46,Northeast,16,24
17,16.70040512,female,46,Northeast,12,28
18,27.88461494,female,48,Northeast,16,26
19,17.30769157,male,46,Northeast,14,26
20,10,female,52,Northeast,12,34
21,22.11538506,female,36,Northeast,13,17
22,33.65384674,female,48,Northeast,12,30
23,32.69230652,male,37,Northeast,12,19
24,35.7142868,female,41,Northeast,18,17
25,11.53846169,female,56,Northeast,12,38
26,24.03846169,female,41,Northeast,13,22
27,12.59615421,male,53,Northeast,14,33
28,16.92307663,female,49,Northeast,16,27
29,21.63461494,male,45,Northeast,13,26
30,19.23077011,male,36,Northeast,12,18
31,3.605769157,female,23,Northeast,13,4
32,33.65384674,male,46,Northeast,18,22
33,30.28846169,male,41,Northeast,16,19
34,10.81730747,male,23,Northeast,12,5
35,24.03846169,male,23,Northeast,12,5
36,29.80769157,male,46,South,12,28
37,10.8805666,female,56,South,13,37
38,26.44230843,male,58,South,12,40
39,30.21977997,female,45,South,12,27
40,4.39560461,female,21,South,13,2
41,15.68825912,female,43,South,14,23
42,24.29149818,female,54,South,12,36
43,25,male,38,South,13,19
44,50.48077011,male,42,South,16,20
45,17.30769157,female,41,South,18,17
46,47.59615326,male,40,South,20,14
47,14.42307663,female,41,South,16,19
48,13.73626328,female,30,Midwest,12,12
49,14.42307663,female,61,South,13,42
50,14.42307663,male,45,South,12,27
51,30.28846169,male,44,South,12,26
52,19.23077011,female,55,South,16,33
53,16.82692337,female,62,South,18,38
54,15.38461494,female,48,South,12,30
55,2.884615421,male,62,South,14,42
56,13.94230747,female,30,South,13,11
57,32.21154022,female,61,South,12,43
58,12.30769253,male,23,Midwest,16,1
59,19.23077011,male,25,Northeast,16,3
60,28.22115326,male,24,Northeast,16,2
61,45.67307663,male,42,South,18,18
62,16.82692337,female,28,South,18,4
63,38.46154022,female,32,South,16,10
64,29.9145298,female,41,South,19,16
65,33.65384674,male,33,South,16,11
66,33.21678162,male,42,South,16,20
67,34.61538315,male,32,Northeast,19,7
68,49.03845978,female,42,South,20,16
69,45.38461685,male,40,South,20,14
