Digital service,AWTP
Amazon,10
Netflix,8
Facebook,5
Google,15
Google,20
Instagram,20
YouTube,10.5
Instagram,20
Instagram,100
Netflix,5
Facebook,100
Amazon,20
Netflix,8
Google,200
Facebook,10
Google,10
Other:Groupme,20
Google,120
Netflix,5
Amazon,30
Netflix,10
Facebook,100
Netflix,10
Hulu,30
Amazon,20
HBOnow,25
Hulu,30
Facebook,50
Google,50.55
Google,50
Google,5
YouTube,10
Google,250
Facebook,60
Amazon,50
Facebook,30
Facebook,150
Hulu,30
Netflix,5
Facebook,50
YouTube,10
Google,5
Instagram,25
Facebook,10
Facebook,50
Netflix,5
Facebook,100
Google,5
Facebook,4.49
YouTube,50
Google,50
Facebook,10
Google,10
Facebook,30
Google,1
YouTube,10
Google,29.99
Google,10
Facebook,20
Facebook,20
Google,10
Facebook,10
Facebook,100
Netflix,0
Netflix,5
Google,250
Facebook,45
Twitter,50
Google,25
Google,5
Netflix,15
Uber,40
Instagram,5
Netflix,50
Google,10
Instagram,20
YouTube,25
YouTube,0
Airbnb,30.8
Facebook,50
Hulu,5
Google,10
Google,10
Facebook,10
Netflix,100
Netflix,20
Google,5
Google,30
Google,100
HBOnow,20
Netflix,50
Google,50
Amazon,20
Google,100
Google,200
Google,20
Google,10
Amazon,120
Google,5
Facebook,10
Google,10
Google,10
Facebook,50
Instagram,25
Google,90
YouTube,50
Facebook,7
Amazon,5
Instagram,100
Facebook,10
Google,10
Amazon,5
Google,20
Amazon,2
Amazon,35
Google,35
Facebook,10
Google,15
Google,50
Google,10
Facebook,40.17
YouTube,10
YouTube,5
Uber,10
YouTube,200
Google,5
Google,30
YouTube,65
Google,100
Facebook,10
Google,10
Facebook,10
Google,150
Amazon,20
Google,100
YouTube,40.7
Amazon,30
Google,5
Facebook,20
Netflix,10
Google,10
Google,10
Google,15
Twitter,20
Instagram,10
Instagram,200
Netflix,10
Facebook,10
Google,25
Google,200
Amazon,50
Google,20
Twitter,200
Uber,20
Google,10
Twitter,20
Netflix,20
Netflix,50
Amazon,20
Google,100
Netflix,15
Other:Snapchat,10
Facebook,20
YouTube,5.5
Google,10
Instagram,5
Google,5
Facebook,10
Instagram,50
Google,50
Google,40
Netflix,15
Netflix,20
Google,50
