DATE,SP500,Apple
1990-01-31,-0.0688,-0.0355
1990-02-28,0.0085,0.0032
1990-03-31,0.0243,0.1838
1990-04-30,-0.0269,-0.0217
1990-05-31,0.0920,0.0504
1990-06-30,-0.0089,0.0848
1990-07-31,-0.0052,-0.0615
1990-08-31,-0.0943,-0.1164
1990-09-30,-0.0512,-0.2162
1990-10-31,-0.0067,0.0603
1990-11-30,0.0599,0.1990
1990-12-31,0.0248,0.1701
1991-01-31,0.0415,0.2907
1991-02-28,0.0673,0.0337
1991-03-31,0.0222,0.1878
1991-04-30,0.0003,-0.1912
1991-05-31,0.0386,-0.1433
1991-06-30,-0.0479,-0.1170
1991-07-31,0.0449,0.1145
1991-08-31,0.0196,0.1485
1991-09-30,-0.0191,-0.0660
1991-10-31,0.0119,0.0404
1991-11-30,-0.0439,-0.0122
1991-12-31,0.1116,0.1108
1992-01-31,-0.0199,0.1486
1992-02-29,0.0096,0.0443
1992-03-31,-0.0218,-0.1370
1992-04-30,0.0279,0.0322
1992-05-31,0.0010,-0.0062
1992-06-30,-0.0174,-0.1946
1992-07-31,0.0394,-0.0260
1992-08-31,-0.0240,-0.0135
1992-09-30,0.0091,-0.0190
1992-10-31,0.0021,0.1634
1992-11-30,0.0303,0.0975
1992-12-31,0.0101,0.0391
1993-01-31,0.0070,-0.0042
1993-02-28,0.0105,-0.1072
1993-03-31,0.0187,-0.0283
1993-04-30,-0.0254,-0.0049
1993-05-31,0.0227,0.1072
1993-06-30,0.0008,-0.3024
1993-07-31,-0.0053,-0.2975
1993-08-31,0.0344,-0.0407
1993-09-30,-0.0100,-0.1179
1993-10-31,0.0194,0.3155
1993-11-30,-0.0129,0.0283
1993-12-31,0.0101,-0.0714
1994-01-31,0.0325,0.1197
1994-02-28,-0.0300,0.1182
1994-03-31,-0.0457,-0.0890
1994-04-30,0.0115,-0.0977
1994-05-31,0.0124,-0.0210
1994-06-30,-0.0268,-0.0940
1994-07-31,0.0315,0.2712
1994-08-31,0.0376,0.0778
1994-09-30,-0.0269,-0.0691
1994-10-31,0.0209,0.2820
1994-11-30,-0.0395,-0.1347
1994-12-31,0.0123,0.0470
1995-01-31,0.0243,0.0353
1995-02-28,0.0361,-0.0187
1995-03-31,0.0273,-0.1076
1995-04-30,0.0280,0.0851
1995-05-31,0.0363,0.0897
1995-06-30,0.0213,0.1173
1995-07-31,0.0318,-0.0309
1995-08-31,-0.0003,-0.0418
1995-09-30,0.0401,-0.1337
1995-10-31,-0.0050,-0.0252
1995-11-30,0.0410,0.0532
1995-12-31,0.0174,-0.1639
1996-01-31,0.0326,-0.1333
1996-02-29,0.0069,-0.0045
1996-03-31,0.0079,-0.1068
1996-04-30,0.0134,-0.0076
1996-05-31,0.0229,0.0718
1996-06-30,0.0023,-0.1962
1996-07-31,-0.0457,0.0476
1996-08-31,0.0188,0.1023
1996-09-30,0.0542,-0.0851
1996-10-31,0.0261,0.0366
1996-11-30,0.0734,0.0489
1996-12-31,-0.0215,-0.1347
1997-01-31,0.0613,-0.2036
1997-02-28,0.0059,-0.0226
1997-03-31,-0.0426,0.1231
1997-04-30,0.0584,-0.0685
1997-05-31,0.0586,-0.0221
1997-06-30,0.0435,-0.1429
1997-07-31,0.0781,0.2281
1997-08-31,-0.0574,0.2429
1997-09-30,0.0532,-0.0029
1997-10-31,-0.0345,-0.2147
1997-11-30,0.0446,0.0422
1997-12-31,0.0157,-0.2606
1998-01-31,0.0102,0.3952
1998-02-28,0.0704,0.2901
1998-03-31,0.0499,0.1640
1998-04-30,0.0091,-0.0045
1998-05-31,-0.0188,-0.0274
1998-06-30,0.0394,0.0775
1998-07-31,-0.0116,0.2070
1998-08-31,-0.1458,-0.0993
1998-09-30,0.0624,0.2224
1998-10-31,0.0803,-0.0262
1998-11-30,0.0591,-0.1397
1998-12-31,0.0564,0.2818
1999-01-31,0.0410,0.0061
1999-02-28,-0.0323,-0.1548
1999-03-31,0.0388,0.0323
1999-04-30,0.0379,0.2800
1999-05-31,-0.0250,-0.0421
1999-06-30,0.0544,0.0511
1999-07-31,-0.0320,0.2024
1999-08-31,-0.0063,0.1717
1999-09-30,-0.0286,-0.0297
1999-10-31,0.0625,0.2655
1999-11-30,0.0191,0.2215
1999-12-31,0.0578,0.0504
2000-01-31,-0.0509,0.0091
2000-02-29,-0.0201,0.1048
2000-03-31,0.0967,0.1848
2000-04-30,-0.0308,-0.0865
2000-05-31,-0.0219,-0.3229
2000-06-30,0.0239,0.2470
2000-07-31,-0.0163,-0.0298
2000-08-31,0.0607,0.1993
2000-09-30,-0.0535,-0.5774
2000-10-31,-0.0049,-0.2403
2000-11-30,-0.0801,-0.1566
2000-12-31,0.0041,-0.0985
2001-01-31,0.0346,0.4538
2001-02-28,-0.0923,-0.1561
2001-03-31,-0.0642,0.2093
2001-04-30,0.0768,0.1550
2001-05-31,0.0051,-0.2173
2001-06-30,-0.0250,0.1654
2001-07-31,-0.0108,-0.1918
2001-08-31,-0.0641,-0.0128
2001-09-30,-0.0817,-0.1639
2001-10-31,0.0181,0.1322
2001-11-30,0.0752,0.2130
